university_name,teaching,research,income,1,2,3,Cluster
University of Ioannina,14.5,17.7,32.9,74.39966641657321,11.185636422558172,50.05016795658979,2
Iran University of Science and Technology,25.9,26.0,61.2,56.87546108596173,26.314058196311294,18.542237506355868,3
Johannes Kepler University of Linz,19.2,13.8,37.4,73.03872137933891,8.384820470016786,45.90792695087954,2
University of Kaiserslautern,29.6,22.6,80.2,61.78040689531258,44.8021491085167,11.595451593967296,3
Keele University,20.0,17.6,29.3,72.36478542859287,8.458447997093842,51.52894240206604,2
University of KwaZulu-Natal,20.3,25.7,38.2,63.43995834412725,8.320438780130514,41.26897293727653,2
Kyushu University,36.5,27.5,83.2,55.92874448155364,49.46397766162044,8.968693362525125,3
Lehigh University,23.9,15.0,38.9,69.02565527243432,5.598744574468406,42.82787230082977,2
University of Macau,18.5,17.0,34.9,71.77483115266631,7.159498546868878,47.10393843604324,2
Makerere University,15.1,10.6,28.0,80.77092254742688,15.472567418484251,56.56961147217184,2
Marche Polytechnic University,15.2,11.0,28.0,80.42078719771264,15.181832393595732,56.38068734128238,2
"University of Maryland, Baltimore County",21.3,18.2,31.7,70.28879755474944,5.729198773643396,48.80843864387814,2
Murdoch University,18.7,19.6,36.5,69.28186102084608,6.530340153433102,44.79121252980606,2
National Autonomous University of Mexico,42.7,40.2,63.7,35.92438345682212,38.99420240435777,17.383081852913023,3
National Cheng Kung University,29.8,40.2,100.0,61.46894897587382,67.70082376973518,24.835475997822385,3
National Institute of Applied Sciences of Lyon (INSA Lyon),27.0,10.6,40.3,70.63018912553909,10.10978415605074,43.08443967504368,2
National Yang-Ming University,41.5,18.5,30.2,61.1932973454267,17.253949151511996,49.19066888217154,2
New University of Lisbon,26.9,21.9,41.3,61.303008055333734,6.330667505607119,37.56160837336389,2
University of Nice Sophia Antipolis,21.4,16.1,28.5,72.96189879759424,8.812908207087458,52.37638690359845,2
Novosibirsk State University,41.4,30.8,38.2,47.76666051623534,19.958456870189156,39.21979821138945,2
The Open University,21.0,13.8,28.4,74.9216064288889,10.145320202276537,53.34050765532037,2
Oxford Brookes University,25.7,18.8,28.4,68.66934042718484,7.374250693377064,50.822483154252986,2
University of Palermo,15.3,9.1,28.0,81.75816455456363,16.252819630400868,57.111655240718584,2
University of Parma,17.7,16.6,37.1,71.92277569798173,8.117220838653598,45.583928063167534,2
University of Pisa,21.6,18.9,31.4,69.71203765651003,5.644144590685695,48.80523402298572,2
Polytechnic University of Catalonia,25.2,14.8,40.9,67.97852248706116,6.942551240950003,40.877753361581114,2
University of Porto,32.0,28.2,38.7,54.318006080710646,11.49693570277445,38.21082134734091,2
University of Portsmouth,17.2,10.9,28.9,79.02142534845972,13.533390196541601,55.01564472343025,2
RMIT University,24.7,17.7,37.0,66.99272304669087,2.202126157502856,43.324475777229395,2
University of Rome II – Tor Vergata,23.5,17.2,34.7,68.75924035343692,2.9786348545036825,45.85554428978547,2
University of Rovira i Virgili,20.8,14.8,30.9,73.37208031755873,7.998859467196005,50.77896817363605,2
Saint Petersburg State University,47.9,31.4,29.5,49.061003349344176,26.42178993832901,49.22226816038873,2
University of Salento,29.6,13.2,36.2,68.2975585762455,7.653600948364542,45.099061104227516,2
University of San Francisco,34.2,12.9,28.6,69.21572355320544,13.221445630899224,51.97538499921073,2
University of Saskatchewan,30.8,22.4,62.9,56.993248397484535,27.90404269868074,17.456941139968734,3
Sharif University of Technology,26.6,30.1,87.8,61.531146008850136,53.171561954104746,13.522394918604704,3
University of Siena,23.7,17.8,33.2,68.69069315964714,3.3551594084772254,46.99165940061692,2
Southern Cross University,18.9,18.3,37.7,69.76431235639052,6.681093412474292,44.064434906100395,2
State University of New York Albany,25.6,35.3,28.0,57.80675327626656,17.654869083303932,49.31378345258831,2
University of Strathclyde,25.9,28.0,44.1,56.621477269659586,11.999880724046225,33.75206739184416,2
University of Tampere,23.5,13.7,40.0,70.00573385470598,7.34386485895197,42.52731559529837,2
Tampere University of Technology,23.1,17.2,67.5,66.22470602576185,31.917486442546494,20.947347959990683,3
Tokyo Medical and Dental University (TMDU),39.3,18.3,59.5,56.22457981119616,27.670456965387984,23.14644636114835,3
Tokyo Metropolitan University,21.6,11.4,30.9,75.51227141320615,10.033403643499403,51.89302866083226,2
University of Tsukuba,40.0,30.0,42.9,47.45319064779953,19.561733330551533,34.40314231827869,2
Ulster University,19.1,13.2,29.2,76.13011532424547,10.884094124579368,53.32570550905447,2
Université du Québec à Montréal,26.8,24.5,29.2,63.601155566572814,8.421647459870593,48.60566398828542,2
Universiti Teknologi Malaysia,26.3,14.6,31.1,70.5011039920808,6.784235796318859,49.562724731931525,2
University of Urbino Carlo Bo,17.2,8.7,31.2,79.90300144553899,14.12132868097481,53.981945348365855,2
University of Valencia,22.7,16.9,31.3,70.59477096923382,5.673600640593481,49.24941565249762,2
University of Waikato,19.3,18.2,30.7,71.82708068356864,7.8365378468762374,50.26363070592997,2
Western Sydney University,20.1,24.6,30.7,66.89006896956224,8.8219254225235,48.554738654596626,2
Amirkabir University of Technology,24.5,25.7,55.7,57.84705635693516,20.942713902368627,23.900151430666213,2
"University of the Andes, Colombia",21.2,13.8,28.0,74.9646237950188,10.359421194101817,53.65541891691382,2
